 ;Label;Area;Mean;Min;Max;X;Y;Angle;Length
1;botella_con_radios.png;14.612;110.837;99.930;160.594;72.370;123.388;0;40.276
2;botella_con_radios.png;14.871;104.996;25.523;166.810;72.505;121.590;5;40.861
3;botella_con_radios.png;15.000;93.868;15.937;159.480;72.415;119.748;10;41.501
4;botella_con_radios.png;15.130;103.602;36.163;164.884;72.325;117.994;15;41.759
5;botella_con_radios.png;15.518;106.318;30.803;170.918;72.325;116.017;20;42.943
6;botella_con_radios.png;16.164;110.357;42.455;166.485;72.415;113.994;25;44.725
7;botella_con_radios.png;16.940;112.076;41.789;164.574;72.505;111.701;30;46.755
8;botella_con_radios.png;17.975;109.347;37.339;162.618;72.595;109.139;35;49.802
9;botella_con_radios.png;19.268;114.591;39.962;154.976;72.595;106.352;40;53.179
10;botella_con_radios.png;20.690;114.539;54.209;154.527;72.460;103.251;45;57.150
11;botella_con_radios.png;22.371;110.579;56.830;158.876;72.280;99.655;50;61.930
12;botella_con_radios.png;23.923;104.117;41.690;151.523;71.201;96.283;55;66.343
13;botella_con_radios.png;24.958;105.683;29.660;147.119;69.448;93.497;60;69.002
14;botella_con_radios.png;25.863;111.828;67.948;145.167;67.470;91.024;65;71.463
15;botella_con_radios.png;26.251;113.709;70.083;135.870;64.818;89.091;70;72.814
16;botella_con_radios.png;27.156;113.646;59.658;190.975;62.076;87.024;75;75.308
17;botella_con_radios.png;32.716;111.897;59.902;147.998;60.323;78.843;80;90.493
18;botella_con_radios.png;42.544;105.000;41.415;172.997;57.416;64.609;85;117.813
19;botella_con_radios.png;42.544;87.987;71.231;135.222;52.262;64.369;90;117.830
