 ;Label;Area;Mean;Min;Max;X;Y;Angle;Length
1;botella_con_radios.png;14.871;111.100;81.278;161.378;72.640;123.344;0;40.875
2;botella_con_radios.png;14.742;102.970;40.495;169.418;72.520;125.142;-5;40.805
3;botella_con_radios.png;14.871;107.704;49.929;175.469;72.235;126.940;-10;40.824
4;botella_con_radios.png;15.000;106.512;48.629;162.277;72.235;128.783;-15;41.458
5;botella_con_radios.png;15.518;105.129;47.362;182.382;72.235;130.760;-20;42.898
6;botella_con_radios.png;16.035;106.835;55.558;161.900;72.055;132.693;-25;44.074
7;botella_con_radios.png;16.552;106.484;34.994;176.814;72.010;134.761;-30;45.674
8;botella_con_radios.png;17.457;106.438;23.897;178.651;71.920;137.098;-35;48.182
9;botella_con_radios.png;18.621;99.372;37.758;159.504;71.786;139.930;-40;51.419
10;botella_con_radios.png;20.044;105.641;45.517;159.217;71.696;142.852;-45;55.242
11;botella_con_radios.png;21.854;110.684;59.011;157.878;71.741;146.448;-50;60.478
12;botella_con_radios.png;24.182;104.694;57.579;158.419;71.426;150.538;-55;66.719
13;botella_con_radios.png;27.415;96.940;14.746;159.494;71.156;156.112;-60;75.771
14;botella_con_radios.png;32.199;89.139;6.022;172.025;71.111;163.664;-65;89.119
15;botella_con_radios.png;38.794;86.010;7.141;157.539;70.797;173.733;-70;107.569
16;botella_con_radios.png;42.415;79.510;6.300;144.667;67.515;180.011;-75;117.431
17;botella_con_radios.png;42.674;79.060;8.953;139.343;62.631;181.659;-80;118.363
18;botella_con_radios.png;42.544;80.336;8.359;143.102;57.596;182.019;-85;117.964
19;botella_con_radios.png;42.544;84.620;66.721;135.222;52.382;182.318;-90;118.070
