Angle_deg,Length_mm
0,40.5755
5,40.861
10,41.501
15,41.759
20,42.943
25,44.725
30,46.755
35,49.802
40,53.179
45,57.15
50,61.93
55,66.343
60,69.002
65,71.463
70,72.814
75,75.308
80,90.493
85,117.813
90,117.83
95,117.813
100,90.493
105,75.308
110,72.814
115,71.463
120,69.002
125,66.343
130,61.93
135,57.15
140,53.179
145,49.802
150,46.755
155,44.725
160,42.943
165,41.759
170,41.501
175,40.861
180,40.5755
185,40.805
190,40.824
195,41.458
200,42.898
205,44.074
210,45.674
215,48.182
220,51.419
225,55.242
230,60.478
235,66.719
240,75.771
245,89.119
250,107.569
255,117.431
260,118.363
265,117.964
270,118.07
275,117.964
280,118.363
285,117.431
290,107.569
295,89.119
300,75.771
305,66.719
310,60.478
315,55.242
320,51.419
325,48.182
330,45.674
335,44.074
340,42.898
345,41.458
350,40.824
355,40.805
