Angle_deg,Distance_px
0.0,687.0
1.0,688.0
2.0,688.0
3.0,689.0
4.0,690.0
5.0,692.0
6.0,693.0
7.0,696.0
8.0,697.0
9.0,701.0
10.0,703.0
11.0,706.0
12.0,709.0
13.0,712.0
14.0,715.0
15.0,718.0
16.0,721.0
17.0,726.0
18.0,730.0
19.0,735.0
20.0,739.0
21.0,745.0
22.0,750.0
23.0,757.0
24.0,762.0
25.0,770.0
26.0,777.0
27.0,784.0
28.0,792.0
29.0,800.0
30.0,809.0
31.0,818.0
32.0,827.0
33.0,838.0
34.0,849.0
35.0,859.0
36.0,871.0
37.0,884.0
38.0,897.0
39.0,909.0
40.0,925.0
41.0,939.0
42.0,955.0
43.0,972.0
44.0,988.0
45.0,1005.0
46.0,1023.0
47.0,1042.0
48.0,1062.0
49.0,1083.0
50.0,1106.0
51.0,1129.0
52.0,1153.0
53.0,1179.0
54.0,1204.0
55.0,1230.0
56.0,1255.0
57.0,1277.0
58.0,1298.0
59.0,1319.0
60.0,1337.0
61.0,1355.0
62.0,1373.0
63.0,1389.0
64.0,1407.0
65.0,1422.0
66.0,1436.0
67.0,1449.0
68.0,1461.0
69.0,1475.0
70.0,1488.0
71.0,1500.0
72.0,1509.0
73.0,1518.0
74.0,1527.0
75.0,1533.0
76.0,1544.0
77.0,1560.0
78.0,1579.0
79.0,1600.0
80.0,1640.0
81.0,1725.0
82.0,1863.0
83.0,2266.0
84.0,2308.0
85.0,2304.0
86.0,2301.0
87.0,2298.0
88.0,2296.0
89.0,2295.0
90.0,2295.0
91.0,2295.0
92.0,2296.0
93.0,2298.0
94.0,2301.0
95.0,2304.0
96.0,2308.0
97.0,2292.0
98.0,2148.0
99.0,1873.0
100.0,1730.0
101.0,1643.0
102.0,1601.0
103.0,1573.0
104.0,1550.0
105.0,1538.0
106.0,1528.0
107.0,1521.0
108.0,1506.0
109.0,1501.0
110.0,1489.0
111.0,1480.0
112.0,1470.0
113.0,1461.0
114.0,1450.0
115.0,1440.0
116.0,1426.0
117.0,1411.0
118.0,1395.0
119.0,1379.0
120.0,1366.0
121.0,1347.0
122.0,1334.0
123.0,1305.0
124.0,1285.0
125.0,1262.0
126.0,1240.0
127.0,1216.0
128.0,1190.0
129.0,1166.0
130.0,1141.0
131.0,1120.0
132.0,1098.0
133.0,1076.0
134.0,1057.0
135.0,1038.0
136.0,1020.0
137.0,1003.0
138.0,987.0
139.0,971.0
140.0,956.0
141.0,941.0
142.0,927.0
143.0,914.0
144.0,901.0
145.0,889.0
146.0,878.0
147.0,866.0
148.0,856.0
149.0,846.0
150.0,837.0
151.0,827.0
152.0,819.0
153.0,811.0
154.0,803.0
155.0,796.0
156.0,789.0
157.0,783.0
158.0,776.0
159.0,771.0
160.0,765.0
161.0,759.0
162.0,754.0
163.0,749.0
164.0,745.0
165.0,742.0
166.0,737.0
167.0,733.0
168.0,730.0
169.0,728.0
170.0,725.0
171.0,722.0
172.0,720.0
173.0,718.0
174.0,715.0
175.0,714.0
176.0,712.0
177.0,711.0
178.0,710.0
179.0,709.0
180.0,709.0
181.0,709.0
182.0,708.0
183.0,708.0
184.0,708.0
185.0,709.0
186.0,709.0
187.0,710.0
188.0,711.0
189.0,713.0
190.0,714.0
191.0,716.0
192.0,718.0
193.0,720.0
194.0,723.0
195.0,726.0
196.0,729.0
197.0,733.0
198.0,736.0
199.0,740.0
200.0,744.0
201.0,748.0
202.0,752.0
203.0,757.0
204.0,762.0
205.0,767.0
206.0,773.0
207.0,780.0
208.0,787.0
209.0,793.0
210.0,800.0
211.0,807.0
212.0,815.0
213.0,823.0
214.0,833.0
215.0,842.0
216.0,852.0
217.0,862.0
218.0,873.0
219.0,885.0
220.0,896.0
221.0,910.0
222.0,923.0
223.0,936.0
224.0,952.0
225.0,967.0
226.0,983.0
227.0,1000.0
228.0,1017.0
229.0,1036.0
230.0,1056.0
231.0,1077.0
232.0,1099.0
233.0,1123.0
234.0,1146.0
235.0,1173.0
236.0,1201.0
237.0,1606.0
238.0,1651.0
239.0,1698.0
240.0,1711.0
241.0,1693.0
242.0,1684.0
243.0,1689.0
244.0,1708.0
245.0,1998.0
246.0,1982.0
247.0,1967.0
248.0,1953.0
249.0,1940.0
250.0,1927.0
251.0,1915.0
252.0,1904.0
253.0,1894.0
254.0,1884.0
255.0,1875.0
256.0,1867.0
257.0,1859.0
258.0,1852.0
259.0,1845.0
260.0,1839.0
261.0,1834.0
262.0,1829.0
263.0,1825.0
264.0,1821.0
265.0,1818.0
266.0,1815.0
267.0,1814.0
268.0,1812.0
269.0,1811.0
270.0,1811.0
271.0,1811.0
272.0,1812.0
273.0,1814.0
274.0,1815.0
275.0,1818.0
276.0,1821.0
277.0,1825.0
278.0,1829.0
279.0,1703.0
280.0,1696.0
281.0,1697.0
282.0,1711.0
283.0,1708.0
284.0,1700.0
285.0,1700.0
286.0,1700.0
287.0,1705.0
288.0,1715.0
289.0,1915.0
290.0,1927.0
291.0,1940.0
292.0,1953.0
293.0,1967.0
294.0,1982.0
295.0,1998.0
296.0,2015.0
297.0,2028.0
298.0,1961.0
299.0,1899.0
300.0,1841.0
301.0,1788.0
302.0,1737.0
303.0,1691.0
304.0,1647.0
305.0,1605.0
306.0,1134.0
307.0,1109.0
308.0,1085.0
309.0,1061.0
310.0,1039.0
311.0,1019.0
312.0,999.0
313.0,982.0
314.0,964.0
315.0,948.0
316.0,932.0
317.0,918.0
318.0,905.0
319.0,891.0
320.0,881.0
321.0,869.0
322.0,857.0
323.0,847.0
324.0,836.0
325.0,827.0
326.0,818.0
327.0,809.0
328.0,800.0
329.0,793.0
330.0,785.0
331.0,778.0
332.0,772.0
333.0,765.0
334.0,759.0
335.0,753.0
336.0,748.0
337.0,743.0
338.0,738.0
339.0,733.0
340.0,728.0
341.0,724.0
342.0,720.0
343.0,716.0
344.0,712.0
345.0,710.0
346.0,705.0
347.0,703.0
348.0,701.0
349.0,698.0
350.0,696.0
351.0,695.0
352.0,693.0
353.0,692.0
354.0,690.0
355.0,689.0
356.0,688.0
357.0,687.0
358.0,688.0
359.0,688.0
